date,ticker,betsize_u,betsize_c,betsize_cl,pnl_u,pnl_c,pnl_cl
2024-01-03,ACM,12174.0,0.0,0.0,0.0001722787031028,0.0,0.0
2024-01-03,BAC,11724.0,0.0,0.0,-4.180970436030028e-05,0.0,0.0
2024-01-03,BBWI,11724.0,0.0,0.0,-0.000281024633587,0.0,0.0
2024-01-03,BKNG,11724.0,0.0,0.0,0.0001803051952992,0.0,0.0
2024-01-03,BR,11724.0,0.0,0.0,0.0001410281226668,0.0,0.0
2024-01-03,CBRE,11724.0,0.0,0.0,-0.0001952232643608,0.0,0.0
2024-01-03,CDW,11724.0,0.0,0.0,0.0001491485061649,0.0,0.0
2024-01-03,CE,11724.0,0.0,0.0,-0.0001993582437798,0.0,0.0
2024-01-03,CLF,11724.0,0.0,0.0,-0.000283326918454,0.0,0.0
2024-01-03,CMI,11724.0,0.0,0.0,-7.05918992335238e-05,0.0,0.0
2024-01-03,COF,11724.0,0.0,0.0,-8.06645068261662e-06,0.0,0.0
2024-01-03,COTY,11724.0,0.0,0.0,0.0001186311094544,0.0,0.0
2024-01-03,CSL,11724.0,0.0,0.0,0.0001549868042321,0.0,0.0
2024-01-03,CVNA,11724.0,0.0,0.0,-4.790507971820372e-05,0.0,0.0
2024-01-03,DBX,11724.0,0.0,0.0,-0.0001987442610115,0.0,0.0
2024-01-03,ESS,11724.0,0.0,0.0,-0.0001824943095249,0.0,0.0
2024-01-03,EVR,11724.0,0.0,0.0,0.0002454509077558,0.0,0.0
2024-01-03,EWBC,11724.0,0.0,0.0,-0.0001864608990147,0.0,0.0
2024-01-03,EXP,11724.0,0.0,0.0,0.0001017535434523,0.0,0.0
2024-01-03,EXR,11724.0,0.0,0.0,-0.0001952588800545,0.0,0.0
2024-01-03,FHN,11724.0,0.0,0.0,-0.0001397688252647,0.0,0.0
2024-01-03,FITB,11724.0,0.0,0.0,-0.0001026033074477,0.0,0.0
2024-01-03,FND,11724.0,0.0,0.0,0.0005065902986334,0.0,0.0
2024-01-03,FR,11724.0,0.0,0.0,-0.0001699436186585,0.0,0.0
2024-01-03,FRPT,11724.0,0.0,0.0,-0.0002686801747102,0.0,0.0
2024-01-03,FRT,11724.0,0.0,0.0,-0.000176389565616,0.0,0.0
2024-01-03,AXON,11724.0,0.0,0.0,0.0001492299098236,0.0,0.0
2024-01-03,GLPI,11724.0,0.0,0.0,-0.0001490600148452,0.0,0.0
2024-01-03,AVT,11724.0,0.0,0.0,7.225228798911793e-05,0.0,0.0
2024-01-03,ARES,11724.0,0.0,0.0,-9.305682963141124e-05,0.0,0.0
2024-01-03,FOX,10000.0,0.0,0.0,-1.0714285714286002e-05,0.0,0.0
2024-01-03,JBL,10000.0,0.0,0.0,4.4167521097877e-05,0.0,0.0
2024-01-03,PNW,10000.0,10000.0,25000.0,0.0001078754170993,0.0001078754170993,0.0002696885427484
2024-01-03,EXC,10000.0,10000.0,25000.0,-9.581166164796e-05,-9.581166164796e-05,-0.0002395291541199
2024-01-03,AEE,10000.0,10000.0,25000.0,-4.4594594594594e-05,-4.4594594594594e-05,-0.0001114864864864
2024-01-03,TW,12500.0,12500.0,31250.0,7.957337502792125e-05,7.957337502792125e-05,0.0001989334375698
2024-01-03,STE,12500.0,12500.0,31250.0,0.0002270323707927,0.0002270323707927,0.0005675809269817
2024-01-03,PEG,12500.0,12500.0,31250.0,4.0577828274631256e-05,4.0577828274631256e-05,0.0001014445706865
2024-01-03,NVCR,12500.0,12500.0,31250.0,0.0006639518413597,0.0006639518413597,0.0016598796033994
2024-01-03,KEX,12500.0,12500.0,31250.0,1.589926227422875e-05,1.589926227422875e-05,3.974815568557188e-05
2024-01-03,HAS,12500.0,12500.0,31250.0,0.0003264214033092,0.0003264214033092,0.0008160535082731
2024-01-03,FCN,12500.0,12500.0,31250.0,0.0002007142133522,0.0002007142133522,0.0005017855333806
2024-01-03,ARMK,12500.0,12500.0,31250.0,5.843221862639251e-05,5.843221862639251e-05,0.0001460805465659
2024-01-03,HE,15000.0,15000.0,37500.0,-0.0003665785997358,-0.0003665785997358,-0.0009164464993394
2024-01-03,MPW,15000.0,15000.0,37500.0,-0.0002705410821643,-0.0002705410821643,-0.0006763527054108
2024-01-03,UPS,16154.0,0.0,0.0,2.7732806393705535e-05,0.0,0.0
2024-01-03,UDR,16154.0,0.0,0.0,-0.0002747493981279,0.0,0.0
2024-01-03,AGNC,11724.0,0.0,0.0,7.361413952292773e-05,0.0,0.0
2024-01-03,ALK,11724.0,0.0,0.0,0.0003194076038903,0.0,0.0
2024-01-03,ALLE,11724.0,0.0,0.0,0.0001457894264831,0.0,0.0
2024-01-03,ALNY,11724.0,0.0,0.0,-0.0002006812638226,0.0,0.0
2024-01-03,AMG,11724.0,0.0,0.0,0.0001875231738969,0.0,0.0
2024-01-03,AMP,11724.0,0.0,0.0,-1.7227806983413588e-05,0.0,0.0
2024-01-03,AN,11724.0,0.0,0.0,-0.000276380899367,0.0,0.0
2024-01-03,APH,11724.0,0.0,0.0,0.0001377016512012,0.0,0.0
2024-01-03,ARW,11724.0,0.0,0.0,9.070899753218084e-05,0.0,0.0
2024-01-03,FWONA,10000.0,0.0,0.0,8.5889570552146e-05,0.0,0.0
2024-01-03,GS,11724.0,0.0,0.0,-0.0001604151305172,0.0,0.0
2024-01-03,H,11724.0,0.0,0.0,0.0001047529999276,0.0,0.0
2024-01-03,REXR,11724.0,0.0,0.0,-6.971109040074503e-05,0.0,0.0
2024-01-03,RH,11724.0,0.0,0.0,0.0003838397077862,0.0,0.0
2024-01-03,RHI,11724.0,0.0,0.0,0.0002219857813028,0.0,0.0
2024-01-03,RJF,11724.0,0.0,0.0,-0.0001344681222109,0.0,0.0
2024-01-03,SCCO,11724.0,0.0,0.0,-0.0002368371981466,0.0,0.0
2024-01-03,SSNC,11724.0,0.0,0.0,0.0001501844319896,0.0,0.0
2024-01-03,STWD,11724.0,0.0,0.0,-0.0002003614416433,0.0,0.0
2024-01-03,TWLO,11724.0,0.0,0.0,0.0001146779889686,0.0,0.0
2024-01-03,URI,11724.0,0.0,0.0,0.0001984285804562,0.0,0.0
2024-01-03,VMC,11724.0,0.0,0.0,0.0001451791215343,0.0,0.0
2024-01-03,VRT,11724.0,0.0,0.0,-0.0001485057471264,0.0,0.0
2024-01-03,VTR,11724.0,0.0,0.0,-0.0001122598485317,0.0,0.0
2024-01-03,VVV,11724.0,0.0,0.0,0.0003529801081665,0.0,0.0
2024-01-03,YETI,11724.0,0.0,0.0,0.0005609354095107,0.0,0.0
2024-01-03,QDEL,16154.0,0.0,0.0,-0.0004031769742453,0.0,0.0
2024-01-03,PRGO,16154.0,0.0,0.0,-0.0003388591174016,0.0,0.0
2024-01-03,MTZ,16154.0,0.0,0.0,0.0004715152670542,0.0,0.0
2024-01-03,MSGS,16154.0,0.0,0.0,0.0001528358106719,0.0,0.0
2024-01-03,MRNA,16154.0,0.0,0.0,-0.0005325746659895,0.0,0.0
2024-01-03,KMPR,16154.0,0.0,0.0,-0.0003464690914188,0.0,0.0
2024-01-03,JNJ,16154.0,0.0,0.0,4.831357812851769e-05,0.0,0.0
2024-01-03,EBAY,16154.0,0.0,0.0,-2.9619704155575688e-05,0.0,0.0
2024-01-03,BYD,16154.0,0.0,0.0,-0.0002730806927697,0.0,0.0
2024-01-03,ALSN,16154.0,0.0,0.0,0.000228443997226,0.0,0.0
